forum,post_type,username,original_title,original_post,post_url,LLM_inferred_question,cluster,cluster_label,date_posted,umap_1,umap_2,umap_3,llm_cluster_name
cervical,Question,L2025,Radical hysterectomy: pre-op appointment with surgeon,"
Hi everyone,
I had my initial pre-op appointment with the surgeon today. He explained more about my diagnosis, surgery and what to expect afterwards, giving me the opportunity to ask questions and checking that I understood along the way. A very helpful meeting where I felt listened to and well cared for.
I will be having an open radical hysterectomy with fallopian tubes, ovaries and lymph nodes also removed as a precaution. I have been told to expect to be in hospital for 4 or 5 days after surgery. 
I have an appointment next week for pre-op health checks and to meet the recovery team for info and advice then I’ll have another blood test 2 or 3 days before surgery. I’m awaiting confirmation of the surgery date - the surgeon said that it will be in February but not the first week of February as he is already fully booked that week. So it shouldn’t be long to wait for surgery - the sooner it takes place then the sooner I can start recovery. 
If anyone has any tips/experience to share, that would be much appreciated. All general tips/experience welcomed - below are a few things I would particularly like to ask about if anyone is able to help.

Things to take with me to the hospital that I might not think of (I’ve never stayed in hospital before but I have looked up general things to take like nighties, day clothes, etc).
Anything that you found you couldn’t do after surgery while recovering that you hadn’t anticipated/expected in advance (I’m trying to think about anything I can prepare/put in place before surgery that will make it easier afterwards). 
Did anyone else need to be able to step over the side of the bath to access the shower once at home (I only have a shower over the bath, no shower cubicle)? If so, did you manage this okay in the first few days/weeks of being back home? 

Thanks,
Louise
",https://community.macmillan.org.uk/cancer_types/cervical-cancer-forum/f/diagnosis-and-treatment/289825/radical-hysterectomy-pre-op-appointment-with-surgeon,Tips for hospital stay (things to take),0,"surgery, hysterectomy, recovery, hospital, advice, experience, long, op, time, expect, stay",2025-01-23T21:37:26.753Z,5.6246552,2.5728672,2.025753,"Hysterectomy Recovery  
"
cervical,Question,L2025,Radical hysterectomy: pre-op appointment with surgeon,"
Hi everyone,
I had my initial pre-op appointment with the surgeon today. He explained more about my diagnosis, surgery and what to expect afterwards, giving me the opportunity to ask questions and checking that I understood along the way. A very helpful meeting where I felt listened to and well cared for.
I will be having an open radical hysterectomy with fallopian tubes, ovaries and lymph nodes also removed as a precaution. I have been told to expect to be in hospital for 4 or 5 days after surgery. 
I have an appointment next week for pre-op health checks and to meet the recovery team for info and advice then I’ll have another blood test 2 or 3 days before surgery. I’m awaiting confirmation of the surgery date - the surgeon said that it will be in February but not the first week of February as he is already fully booked that week. So it shouldn’t be long to wait for surgery - the sooner it takes place then the sooner I can start recovery. 
If anyone has any tips/experience to share, that would be much appreciated. All general tips/experience welcomed - below are a few things I would particularly like to ask about if anyone is able to help.

Things to take with me to the hospital that I might not think of (I’ve never stayed in hospital before but I have looked up general things to take like nighties, day clothes, etc).
Anything that you found you couldn’t do after surgery while recovering that you hadn’t anticipated/expected in advance (I’m trying to think about anything I can prepare/put in place before surgery that will make it easier afterwards). 
Did anyone else need to be able to step over the side of the bath to access the shower once at home (I only have a shower over the bath, no shower cubicle)? If so, did you manage this okay in the first few days/weeks of being back home? 

Thanks,
Louise
",https://community.macmillan.org.uk/cancer_types/cervical-cancer-forum/f/diagnosis-and-treatment/289825/radical-hysterectomy-pre-op-appointment-with-surgeon,Unexpected limitations after surgery,0,"surgery, hysterectomy, recovery, hospital, advice, experience, long, op, time, expect, stay",2025-01-23T21:37:26.753Z,5.637187,2.5292413,3.3429837,"Hysterectomy Recovery  
"
cervical,Question,L2025,Radical hysterectomy: pre-op appointment with surgeon,"
Hi everyone,
I had my initial pre-op appointment with the surgeon today. He explained more about my diagnosis, surgery and what to expect afterwards, giving me the opportunity to ask questions and checking that I understood along the way. A very helpful meeting where I felt listened to and well cared for.
I will be having an open radical hysterectomy with fallopian tubes, ovaries and lymph nodes also removed as a precaution. I have been told to expect to be in hospital for 4 or 5 days after surgery. 
I have an appointment next week for pre-op health checks and to meet the recovery team for info and advice then I’ll have another blood test 2 or 3 days before surgery. I’m awaiting confirmation of the surgery date - the surgeon said that it will be in February but not the first week of February as he is already fully booked that week. So it shouldn’t be long to wait for surgery - the sooner it takes place then the sooner I can start recovery. 
If anyone has any tips/experience to share, that would be much appreciated. All general tips/experience welcomed - below are a few things I would particularly like to ask about if anyone is able to help.

Things to take with me to the hospital that I might not think of (I’ve never stayed in hospital before but I have looked up general things to take like nighties, day clothes, etc).
Anything that you found you couldn’t do after surgery while recovering that you hadn’t anticipated/expected in advance (I’m trying to think about anything I can prepare/put in place before surgery that will make it easier afterwards). 
Did anyone else need to be able to step over the side of the bath to access the shower once at home (I only have a shower over the bath, no shower cubicle)? If so, did you manage this okay in the first few days/weeks of being back home? 

Thanks,
Louise
",https://community.macmillan.org.uk/cancer_types/cervical-cancer-forum/f/diagnosis-and-treatment/289825/radical-hysterectomy-pre-op-appointment-with-surgeon,Accessing shower after surgery with a bath/shower,0,"surgery, hysterectomy, recovery, hospital, advice, experience, long, op, time, expect, stay",2025-01-23T21:37:26.753Z,5.461259,3.0819242,3.3076327,"Hysterectomy Recovery  
"
cervical,Question,Auslov,Recent Hysterectomy after repeated high grade cell changes.  Discovers 3 cm cancer hidden within Cervix,"
Hello, just a little background on me.  I had my first bad pap in 2018 with high grade cell changes and HPV positive. I have had three lletz procedures over the last six years with the doctors suggesting a hysterectomy after the last procedure still finding high grade cell changes. 
The hysterectomy went well and everything appeared normal but I have been told that after pathology they detected a 3cm cancer hidden deep within the cervix and unfortunate it had a positive margin.  I asked what stage it was and was told it was 1B. 
I am now awaiting details about a potential larger test to identify any remaining cells and they have said because of the positive margin I will need a five week radiotherapy course with light chemo. 
I am really scared and was wondering if anyone had any similar experiences they could share, what next steps could look like etc.  Also, is there a chance they could discover more?  The doctor said it was a real surprise to everyone and that my tubes and other areas looked completely fine.  
Thanks so much
Elly
",https://community.macmillan.org.uk/cancer_types/cervical-cancer-forum/f/diagnosis-and-treatment/290826/recent-hysterectomy-after-repeated-high-grade-cell-changes-discovers-3-cm-cancer-hidden-within-cervix,Experiences with similar cases,5,"similar, cancer, experience, experiences, cervical, symptoms, treatment, menopause, stage, hrt, endometrial",2025-02-09T07:29:02.400Z,3.7146008,0.5196557,5.76385,"Gynecological Cancer Journeys  
"
cervical,Question,Auslov,Recent Hysterectomy after repeated high grade cell changes.  Discovers 3 cm cancer hidden within Cervix,"
Hello, just a little background on me.  I had my first bad pap in 2018 with high grade cell changes and HPV positive. I have had three lletz procedures over the last six years with the doctors suggesting a hysterectomy after the last procedure still finding high grade cell changes. 
The hysterectomy went well and everything appeared normal but I have been told that after pathology they detected a 3cm cancer hidden deep within the cervix and unfortunate it had a positive margin.  I asked what stage it was and was told it was 1B. 
I am now awaiting details about a potential larger test to identify any remaining cells and they have said because of the positive margin I will need a five week radiotherapy course with light chemo. 
I am really scared and was wondering if anyone had any similar experiences they could share, what next steps could look like etc.  Also, is there a chance they could discover more?  The doctor said it was a real surprise to everyone and that my tubes and other areas looked completely fine.  
Thanks so much
Elly
",https://community.macmillan.org.uk/cancer_types/cervical-cancer-forum/f/diagnosis-and-treatment/290826/recent-hysterectomy-after-repeated-high-grade-cell-changes-discovers-3-cm-cancer-hidden-within-cervix,Potential next steps,9,"appointment, expect, diagnosis, results, wait, consultant, ask, waiting, long, oncologist, questions",2025-02-09T07:29:02.400Z,6.1317215,-0.70433784,3.727976,"Diagnosis & Consultation  
"
cervical,Question,Auslov,Recent Hysterectomy after repeated high grade cell changes.  Discovers 3 cm cancer hidden within Cervix,"
Hello, just a little background on me.  I had my first bad pap in 2018 with high grade cell changes and HPV positive. I have had three lletz procedures over the last six years with the doctors suggesting a hysterectomy after the last procedure still finding high grade cell changes. 
The hysterectomy went well and everything appeared normal but I have been told that after pathology they detected a 3cm cancer hidden deep within the cervix and unfortunate it had a positive margin.  I asked what stage it was and was told it was 1B. 
I am now awaiting details about a potential larger test to identify any remaining cells and they have said because of the positive margin I will need a five week radiotherapy course with light chemo. 
I am really scared and was wondering if anyone had any similar experiences they could share, what next steps could look like etc.  Also, is there a chance they could discover more?  The doctor said it was a real surprise to everyone and that my tubes and other areas looked completely fine.  
Thanks so much
Elly
",https://community.macmillan.org.uk/cancer_types/cervical-cancer-forum/f/diagnosis-and-treatment/290826/recent-hysterectomy-after-repeated-high-grade-cell-changes-discovers-3-cm-cancer-hidden-within-cervix,Chance of finding more cancer,2,"cancer, cervical, stage, ovarian, recurrence, worried, spread, possible, does, lymph, grade",2025-02-09T07:29:02.400Z,5.421919,0.7203615,5.893868,"Ovarian Cancer Concerns  
"
cervical,Question,SJBC36,"New here. Colposcopy-no punch biopsy, straight to treatment under general anaesthetic.","
Hi,
Would anyone know what I should be expecting with regards to treatment and recovery please.
A bit of background history…
My smears have been abnormal since 2019, have always shown high risk HPV. I have been having them yearly since. I had my first colposcopy which showed borderline changes. Then had another a year later which showed low grade and then most recently another showed high grade. Results were high risk HPV and HSIL - high grade dyskaryosis. 
I was referred as urgent and saw a consultant oncologist on Thursday. I went in expecting and preparing for the worst case scenario would be a LLETZ there and then. Non of the leaflets prepare you for anything other than this. 
He literally started to have a look and highlight the areas. He then said I can’t treat you today it’s far too wide spread and goes up somewhere? Can’t remember exactly.
His assistant asked if he was taking a punch biopsy and he said no, straight to treatment.
I have to go in to have a Cone Biopsy, a LLETZ and a Top Hat under general anaesthetic. 
I’m not sure what to make of it all and what the recovery will be like? Do I need time off work etc? 
I was a bit taken aback and unfortunately didn’t ask any questions. Other than I can expect a call from his secretary, I have no information to prepare or will this come in the post? Any similar experiences? 
Thanks in advance for any info!
",https://community.macmillan.org.uk/cancer_types/cervical-cancer-forum/f/diagnosis-and-treatment/290825/new-here-colposcopy-no-punch-biopsy-straight-to-treatment-under-general-anaesthetic,What to expect with treatment and recovery?,0,"surgery, hysterectomy, recovery, hospital, advice, experience, long, op, time, expect, stay",2025-02-09T06:00:06.600Z,5.2947197,1.2918067,3.052774,"Hysterectomy Recovery  
"
cervical,Question,SJBC36,"New here. Colposcopy-no punch biopsy, straight to treatment under general anaesthetic.","
Hi,
Would anyone know what I should be expecting with regards to treatment and recovery please.
A bit of background history…
My smears have been abnormal since 2019, have always shown high risk HPV. I have been having them yearly since. I had my first colposcopy which showed borderline changes. Then had another a year later which showed low grade and then most recently another showed high grade. Results were high risk HPV and HSIL - high grade dyskaryosis. 
I was referred as urgent and saw a consultant oncologist on Thursday. I went in expecting and preparing for the worst case scenario would be a LLETZ there and then. Non of the leaflets prepare you for anything other than this. 
He literally started to have a look and highlight the areas. He then said I can’t treat you today it’s far too wide spread and goes up somewhere? Can’t remember exactly.
His assistant asked if he was taking a punch biopsy and he said no, straight to treatment.
I have to go in to have a Cone Biopsy, a LLETZ and a Top Hat under general anaesthetic. 
I’m not sure what to make of it all and what the recovery will be like? Do I need time off work etc? 
I was a bit taken aback and unfortunately didn’t ask any questions. Other than I can expect a call from his secretary, I have no information to prepare or will this come in the post? Any similar experiences? 
Thanks in advance for any info!
",https://community.macmillan.org.uk/cancer_types/cervical-cancer-forum/f/diagnosis-and-treatment/290825/new-here-colposcopy-no-punch-biopsy-straight-to-treatment-under-general-anaesthetic,"Details about Cone Biopsy, LLETZ, and Top Hat procedures?",7,"bleeding, lletz, heavy, normal, pain, coil, mirena, spotting, cancer, womb, lining",2025-02-09T06:00:06.600Z,6.6562114,4.3327665,5.695004,"Post-Treatment Bleeding  
"
cervical,Question,SJBC36,"New here. Colposcopy-no punch biopsy, straight to treatment under general anaesthetic.","
Hi,
Would anyone know what I should be expecting with regards to treatment and recovery please.
A bit of background history…
My smears have been abnormal since 2019, have always shown high risk HPV. I have been having them yearly since. I had my first colposcopy which showed borderline changes. Then had another a year later which showed low grade and then most recently another showed high grade. Results were high risk HPV and HSIL - high grade dyskaryosis. 
I was referred as urgent and saw a consultant oncologist on Thursday. I went in expecting and preparing for the worst case scenario would be a LLETZ there and then. Non of the leaflets prepare you for anything other than this. 
He literally started to have a look and highlight the areas. He then said I can’t treat you today it’s far too wide spread and goes up somewhere? Can’t remember exactly.
His assistant asked if he was taking a punch biopsy and he said no, straight to treatment.
I have to go in to have a Cone Biopsy, a LLETZ and a Top Hat under general anaesthetic. 
I’m not sure what to make of it all and what the recovery will be like? Do I need time off work etc? 
I was a bit taken aback and unfortunately didn’t ask any questions. Other than I can expect a call from his secretary, I have no information to prepare or will this come in the post? Any similar experiences? 
Thanks in advance for any info!
",https://community.macmillan.org.uk/cancer_types/cervical-cancer-forum/f/diagnosis-and-treatment/290825/new-here-colposcopy-no-punch-biopsy-straight-to-treatment-under-general-anaesthetic,How long is recovery time?,0,"surgery, hysterectomy, recovery, hospital, advice, experience, long, op, time, expect, stay",2025-02-09T06:00:06.600Z,5.5652175,2.509341,3.1432498,"Hysterectomy Recovery  
"
cervical,Question,SJBC36,"New here. Colposcopy-no punch biopsy, straight to treatment under general anaesthetic.","
Hi,
Would anyone know what I should be expecting with regards to treatment and recovery please.
A bit of background history…
My smears have been abnormal since 2019, have always shown high risk HPV. I have been having them yearly since. I had my first colposcopy which showed borderline changes. Then had another a year later which showed low grade and then most recently another showed high grade. Results were high risk HPV and HSIL - high grade dyskaryosis. 
I was referred as urgent and saw a consultant oncologist on Thursday. I went in expecting and preparing for the worst case scenario would be a LLETZ there and then. Non of the leaflets prepare you for anything other than this. 
He literally started to have a look and highlight the areas. He then said I can’t treat you today it’s far too wide spread and goes up somewhere? Can’t remember exactly.
His assistant asked if he was taking a punch biopsy and he said no, straight to treatment.
I have to go in to have a Cone Biopsy, a LLETZ and a Top Hat under general anaesthetic. 
I’m not sure what to make of it all and what the recovery will be like? Do I need time off work etc? 
I was a bit taken aback and unfortunately didn’t ask any questions. Other than I can expect a call from his secretary, I have no information to prepare or will this come in the post? Any similar experiences? 
Thanks in advance for any info!
",https://community.macmillan.org.uk/cancer_types/cervical-cancer-forum/f/diagnosis-and-treatment/290825/new-here-colposcopy-no-punch-biopsy-straight-to-treatment-under-general-anaesthetic,Time off work needed?,0,"surgery, hysterectomy, recovery, hospital, advice, experience, long, op, time, expect, stay",2025-02-09T06:00:06.600Z,5.577865,1.858388,2.788453,"Hysterectomy Recovery  
"
